N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,8694,0,0.3128641242764464,0.09904671999999821,0.4131,0.1038,0.09911975510203803,0.0045597551020407365,0.2739287464563543,-2.936864542396934
150000,5000,5109,0,0.11519975947731997,0.10404079999999824,0.431,0.1741,0.10452702040816039,0.060565061224489285,0.3163032067285443,2.0435066280299665
150000,5000,10602,0,0.24745560412402778,0.09544047999999901,0.3615,0.1059,0.0917208979591817,0.023430612244897803,0.5001049256102894,-0.03278351485128121
150000,5000,7858,0,0.11210111739389617,0.090089119999999,0.3652,0.1304,0.08787526530612065,0.05597861224489804,0.28507829760849895,3.3763368699518495
150000,5000,6415,0,0.08314142358485754,0.0983075999999981,0.406,0.1863,0.09758008163265039,0.06885093877550973,0.2805520784126074,2.3995476513897325
150000,5000,8069,0,0.19596879522785915,0.09803879999999794,0.3958,0.1004,0.09549697959183412,0.036322938775509434,0.29582543976631415,2.2684797512879
150000,5000,8109,0,0.13180551328613732,0.09758967999999876,0.3925,0.1431,0.09843828571428388,0.05128146938775518,0.45212882210767896,2.2145667256669324
150000,5000,4188,0,0.08327886830262987,0.10164855999999835,0.41,0.1612,0.10137567346938502,0.07066383673469365,0.3940276838350923,3.526753549541384
150000,5000,6784,0,0.14790317125155517,0.10301207999999858,0.3992,0.1681,0.09720065306122193,0.05573257142857143,0.3321496555883547,1.775598370622369
150000,5000,4633,0,0.09167128918149592,0.10289999999999806,0.4258,0.1547,0.10157428571428241,0.069662285714286,0.2510841127811699,3.7222738663744748
150000,5000,8792,0,0.35596024330946163,0.10397599999999854,0.3932,0.0047,0.0985146938775483,0.00025616326530612256,0.44799031644898807,-2.599557879804622
150000,5000,8776,0,0.13766737973297405,0.09521519999999861,0.3929,0.1151,0.09547599999999769,0.04886702040816309,0.32417932313016257,3.2978688786225687
150000,5000,6359,0,0.24826972484842746,0.10285375999999821,0.4268,0.104,0.10244293877550756,0.021437795918367877,0.27531977225903986,-0.28040078587550027
150000,5000,10262,0,0.24843822371187096,0.10376255999999874,0.3858,0.0988,0.09688310204081425,0.028047346938775235,0.4574476539518235,0.9927357538939013
150000,5000,3718,0,0.07215820209684476,0.10473671999999835,0.4309,0.2175,0.1026521632653031,0.07862538775510114,0.24580146056362648,2.267694123049194
150000,5000,4383,0,0.1308309862908077,0.10822327999999844,0.4251,0.1893,0.10159591836734408,0.06476726530612231,0.25836743147508184,1.949766570232059
150000,5000,10962,0,0.2675071719268268,0.09759559999999902,0.3729,0.1465,0.09139804081632463,0.02140302040816284,0.35859099488724555,-1.2647798658541782
150000,5000,7760,0,0.21934328637823808,0.09657247999999856,0.3867,0.1043,0.0934739591836714,0.0301826938775509,0.3031457615087368,1.0830379862100343
150000,5000,8079,0,0.18440131467301335,0.10210855999999882,0.407,0.0947,0.10124563265305853,0.039381714285715186,0.41869774124551323,3.153387763694851
150000,5000,6102,0,0.18723415404788535,0.11392759999999814,0.4326,0.1551,0.10937012244897637,0.046616734693878156,0.48536035208581,1.2673459920354555
150000,5000,7702,0,0.23076871125761678,0.08925919999999897,0.3835,0.0994,0.0933271836734669,0.018246938775509865,0.32996873605376625,-0.649811707191297
150000,5000,3614,0,0.08168040628301576,0.1050533599999985,0.4317,0.195,0.10405485714285373,0.0743204897959188,0.2918935957219734,2.589335347894936
150000,5000,8813,0,0.2009321284928145,0.10441967999999856,0.379,0.1046,0.09644448979591615,0.04251159183673459,0.512400916173931,2.9998417578610455
150000,5000,6852,0,0.18186372313948596,0.09957463999999845,0.4163,0.0792,0.09966179591836437,0.03819779591836721,0.2650278593532638,4.238329379863646
150000,5000,7424,0,0.16336347460220213,0.10065863999999818,0.3975,0.1171,0.09572106122448729,0.0490568979591848,0.28814198644607053,3.205793346332144
150000,5000,8309,0,0.14185977707538278,0.10220247999999892,0.4042,0.1293,0.1005035102040793,0.05311265306122466,0.416843893283583,3.0728867959170865
150000,5000,8411,0,0.20457847038836585,0.10097303999999871,0.3663,0.1019,0.09487926530612019,0.038472163265305476,0.5870630507119349,2.5267749064074727
150000,5000,8341,0,0.1724110672681617,0.09852895999999912,0.3808,0.1408,0.09332506122448758,0.04577542857142898,0.35819762981365816,1.6694741672112818
150000,5000,6096,0,0.08495110668104533,0.10643039999999841,0.4331,0.1999,0.10293020408162988,0.0765968163265307,0.23647595954822212,2.622980605425079
150000,5000,7136,0,0.18424125150335535,0.10391791999999828,0.4118,0.1064,0.10067338775509928,0.04249330612244944,0.3482931927536337,2.8845715203358813
150000,5000,9242,0,0.13054917133915966,0.0971361599999985,0.3801,0.1405,0.09427167346938545,0.055133795918366674,0.4064837367428441,2.7725760921891043
150000,5000,8877,0,0.18771675103468533,0.09297711999999861,0.3702,0.0914,0.0895500408163248,0.03762465306122459,0.3059941660377137,3.0840944042178844
150000,5000,6623,0,0.21839352155398106,0.10207151999999876,0.3925,0.1386,0.09740024489795672,0.03355869387755083,0.40871726917133333,0.30931732616203195
150000,5000,4559,0,0.07337780881590283,0.10248231999999821,0.4564,0.2057,0.10173910204081256,0.07520212244898006,-0.005538291690904246,2.3346732543022815
150000,5000,11348,0,0.1892928594436062,0.101972559999999,0.3914,0.1403,0.10025420408163033,0.03876938775510269,0.5398537402302094,0.8699751079006405
150000,5000,6671,0,0.14177202472927908,0.10127375999999849,0.4009,0.1581,0.0975326530612222,0.054714857142857135,0.3287961336869838,2.013653721196883
150000,5000,10350,0,0.23859638984277842,0.10147799999999813,0.3878,0.1193,0.09508685714285513,0.029676489795917808,0.3601612218130467,0.4178089275724171
150000,5000,6331,0,0.11926301548881901,0.09610303999999827,0.3939,0.1782,0.09317395918367145,0.0580711020408168,0.21812255421387422,1.682841928114303
150000,5000,9796,0,0.13773262875539305,0.10294431999999941,0.3904,0.1504,0.1005999999999975,0.05543934693877658,0.5651613667521456,2.3828622954637484
150000,5000,7400,0,0.09471750508959498,0.1064038399999986,0.4274,0.1948,0.10062579591836471,0.07535665306122422,0.1999953010689274,2.682987277564176
150000,5000,8702,0,0.16507457326531194,0.0974009599999983,0.402,0.1164,0.09645616326530339,0.04314440816326561,0.27391291430686165,2.414859281013742
150000,5000,3959,0,0.09762443603302084,0.10728639999999812,0.4293,0.2114,0.10541632653060949,0.07098759183673399,0.36607318782717535,1.846062187132719
150000,5000,9960,0,0.14927340330969496,0.10207511999999891,0.3686,0.1505,0.09541093877550798,0.05570718367346913,0.5842130584769346,2.4080243431251054
150000,5000,6671,0,0.22032885981501715,0.09906311999999842,0.414,0.1832,0.09679918367346656,0.02978416326530603,0.1733549677929117,-0.9950498643025537
150000,5000,9286,0,0.1886640249542093,0.09572055999999914,0.3753,0.09,0.09316448979591613,0.037505795918367446,0.41012264868717857,3.167128994667863
150000,5000,11488,0,0.2671183796076575,0.10298247999999842,0.4167,0.0512,0.10170971428571174,0.01741722448979575,0.3419309862810526,1.908885753798902
150000,5000,4915,0,0.20149918063926175,0.0993138399999984,0.4115,0.1132,0.09573338775509965,0.036271999999999784,0.15415611503453028,1.5917903162459324
150000,5000,7600,0,0.26651551078621116,0.09816159999999868,0.3937,0.0803,0.09450840816326322,0.019189387755101876,0.2757324837459285,0.2571744519307516
150000,5000,7636,0,0.1501343406994795,0.09905207999999852,0.3836,0.1028,0.09559804081632413,0.05078653061224504,0.42609777303541174,4.434480489966172
